x,y,frame,year,month,day,hour,radius,max_vort,mean_vort,mean_vort_850,mean_vort_700,mean_vort_500,max_trunc_vort,track_id,mean_u200,mean_u850,mean_skt,mean_land_frac,mcz_tcwv,vortex_depth,over_land,dvo850_dt,acc_land_time,total_land_time,qshear_850,ushear_850,mean_cape,mcz_cape,mean_dthetae_dp_900_750,mean_dthetae_dp_750_500,mean_land_skt,mean_sst,mean_swvl1_grad,mean_swvl2_grad,mean_swvl1,mean_swvl2,olr_90,olr_75,olr_50,qshear_850_background,ushear_850_background,mean_q_850,orography_height,peak_vorticity,reached_peak,mean_prcp_400,mean_prcp_800,max_prcp_400,max_prcp_800,mean_vimfd_400,mean_v200,mean_v500,mean_v850,mean_u500,zonal_speed,merid_speed,mean_prcp_imerg
88.25,15.75,4087,1979,6,20,6,3.75,12.27455711,3.339046001,3.360868454,3.317223072,1.834167242,2.338225126,6761,-14.61187744,8.566713333,303.1283264,0,50.47223663,0.538654859,0,0.517315149,0,36,0.004078255,-11.485335,1427.649854,940.4134379,0.057130787,-0.00119758,311.87488,303.10876,,,0.25192237,0.22477108,-259.5664479,-220.4290966,-167.6160138,0.004391622,-17.52996,0.014020506,0.270251735,6.09468317,0,1.186341138,0.536917932,7.16405278,7.16405278,-43.14852072,1.428151608,-0.030315032,-2.295247793,-1.861901522,22.25677734,-4.625,
89.5,15.5,4093,1979,6,20,12,3.75,20.89931679,3.826287508,3.744281054,3.908293247,1.653221369,2.855540276,6761,-12.41505051,7.648195744,303.0964355,0,51.61280441,0.460873006,0,0.283160806,0,36,0.004239292,-11.431967,1168.590427,660.0212687,0.057641953,-0.004066345,,303.0278,,,,,-246.8314608,-222.7075413,-187.6916434,0.004943199,-16.022959,0.014351213,0.086473371,6.09468317,0,0.882399055,0.413387867,6.866858323,6.866858323,-14.72218643,0.482849032,-0.46870327,1.37959826,-0.624650478,15.59876796,-2.3125,
90,15.5,4099,1979,6,20,18,3.5,16.99982452,4.292985439,3.836738825,4.749232292,2.612969398,2.904546738,6761,-11.97098541,8.105986595,303.0470886,0,52.20821762,0.84301104,0,0.085223675,0,36,0.003651094,-14.857477,1306.312557,819.5721501,0.047475781,-0.004665908,,302.982,,,,,-229.6621141,-207.5520865,-176.0690437,0.004966354,-17.780474,0.01393253,0.362140916,6.09468317,0,1.405748862,0.684154663,7.75164683,7.75164683,-33.8207012,1.107017994,1.346550465,2.658120394,-1.595367074,-2.228395423,4.625,
89.25,16,4105,1979,6,21,0,4,19.60118484,3.917784929,3.681523561,4.154046535,2.585534334,3.025987625,6761,-10.73914814,10.15469646,303.0964966,0,53.45746613,0.792440199,0,0.214487672,0,36,0.004174656,-15.183796,1198.725291,802.3439176,0.052892478,-0.005518374,298.49487,303.03745,,,0.25526774,0.2376476,-260.2540318,-225.9872359,-148.3656875,0.003649964,-17.565367,0.014185684,-0.281083357,6.09468317,0,1.660460561,0.802735629,11.81529973,11.81529973,-42.58885037,0.336532176,0.919372797,3.271762133,-1.158082247,-20.00625905,4.625,
87.75,16,4111,1979,6,21,6,4.25,53.31012726,3.934868813,3.834705114,4.035032272,3.242534876,3.333522081,6761,-11.06218243,10.67940044,303.2115479,0,54.29327011,0.88974944,0,0.440486431,0,36,0.004498418,-16.616867,1358.580314,1278.88057,0.044169166,-0.005902295,309.83215,303.12442,4.67E-07,1.82E-07,0.27569342,0.24039678,-258.7851945,-208.2432147,-141.186055,0.004491227,-17.568775,0.014368177,1.00536519,6.09468317,0,1.390022939,0.647883508,14.01133542,14.01133542,-44.90338928,-0.519575357,2.287349701,1.773814678,-0.222824588,0,2.3125,
89.25,16.25,4117,1979,6,21,12,4,23.1302681,4.976973057,4.567294121,5.38665247,3.064960957,3.906960487,6761,-12.3246603,9.703939438,303.1332703,0,55.91324997,0.791454484,0,0.143113613,0,36,0.004420117,-14.912323,1202.732907,1148.3475,0.04701754,-0.016030546,304.1141,303.03745,,,0.2819115,0.24692363,-279.6608113,-243.8565715,-164.8008687,0.005007923,-16.155315,0.013974411,-0.281083357,6.09468317,0,0.675535163,0.50447505,6.154853529,6.262277111,-11.24654389,-0.508891642,0.880367756,3.737196922,-0.486598104,11.10057644,2.3125,
89,16.25,4123,1979,6,21,18,4.5,24.13954735,4.017837048,3.648530483,4.387143135,3.472656727,3.619749308,6761,-12.48936367,8.468017578,303.0780029,0,58.085495,1.144478665,0,-0.104084253,0,36,0.005467478,-19.266426,1356.122287,1297.958909,0.0485537,-0.003349637,299.77496,303.07254,,,0.2805035,0.25686955,-269.9713454,-230.9479164,-192.9219398,0.00506821,-17.818495,0.014246794,0.178362553,6.09468317,0,0.93801495,0.550059087,8.57916433,8.57916433,-12.93658554,1.221608877,1.846532464,2.623963118,-0.179470062,-13.32069173,2.3125,
87.75,16.5,4129,1979,6,22,0,4.75,16.43571472,3.921591282,3.821639061,4.021543026,3.091213942,3.698791981,6761,-10.61152554,10.53142452,302.942688,0.02,58.88989258,0.851182034,0,0.175705194,0,36,0.004137508,-16.672985,1232.863535,945.9392364,0.040209614,0.007890077,298.22275,303.0888,5.15E-07,4.30E-07,0.27982128,0.26002756,-272.2614355,-246.1970406,-191.5852522,0.003990935,-17.45208,0.014614873,1.097254371,6.09468317,0,1.274020935,0.559626492,8.816661044,8.816661044,-37.04157812,1.538833499,-1.071330547,1.173750281,-0.873816609,-4.434541274,2.3125,
88.5,16.5,4135,1979,6,22,6,4.25,27.60746384,4.762759686,4.962385654,4.563134193,3.593120337,3.971159697,6761,-12.59640598,10.84648418,303.2800293,0.01,57.77151871,0.665815617,0,0.116564751,0,36,0.004142725,-16.55399,1138.482151,1443.751044,0.054894143,-0.016793026,309.77002,303.04242,,,0.28318658,0.26107544,-264.8210477,-239.9566336,-173.9551533,0.004428116,-16.592215,0.014428179,-0.372972539,6.09468317,0,1.173429188,0.632478662,4.674220065,4.674220065,-32.13673523,1.051504254,2.986181974,0.616679788,2.788170099,8.869082548,0,
88.75,16.5,4141,1979,6,22,12,4.25,13.46734333,4.824318409,4.84239006,4.806246758,3.606456995,3.931921482,6761,-11.35137653,8.618656158,303.116394,0.01,57.55493164,0.739209063,0,-0.097673059,0,36,0.004914478,-15.701868,904.8696403,1193.399846,0.049137087,-0.008492385,303.96652,303.0413,,,0.27517962,0.258455,-230.1770426,-198.5332428,-163.2945636,0.005130586,-15.63418,0.014680404,0.086473371,6.09468317,0,0.506890333,0.451368877,5.242885562,5.737616455,-0.127106793,0.666376293,1.374263763,2.14917469,4.56588459,0,2.3125,
